pairID,annotator_labels,genre,gold_label,promptID,sentence1,sentence1_binary_parse,sentence1_parse,sentence2,sentence2_binary_parse,sentence2_parse,s1_emb,s2_emb,s1_pir,s2_pir,s1_sha,s2_sha
96754n,"['neutral', 'neutral', 'neutral', 'entailment', 'neutral']",fiction,neutral,96754,"They wanted you, so they got you.""  Dave considered it.","( ( ( ( ( They ( ( ( wanted you ) , ) ( so ( they ( got you ) ) ) ) ) . ) '' ) ( Dave ( considered it ) ) ) . )","(ROOT (S (S (NP (PRP They)) (VP (VBD wanted) (NP (PRP you)) (, ,) (SBAR (IN so) (S (NP (PRP they)) (VP (VBD got) (NP (PRP you))))))) (. .) ('' '') (S (NP (NNP Dave)) (VP (VBD considered) (NP (PRP it)))) (. .)))","They wanted to use your skills, so they brought you here.","( ( ( ( ( They ( wanted ( to ( use ( your skills ) ) ) ) ) , ) so ) ( they ( ( brought you ) here ) ) ) . )","(ROOT (S (S (NP (PRP They)) (VP (VBD wanted) (S (VP (TO to) (VP (VB use) (NP (PRP$ your) (NNS skills))))))) (, ,) (IN so) (S (NP (PRP they)) (VP (VBD brought) (NP (PRP you)) (ADVP (RB here)))) (. .)))","""You were the object of their desire, their longing so intense that they simply had to possess you."" Dave pondered over it, reflecting on its implications.","In their fervent desire to harness the prowess of your abilities, they enchantingly summoned you to this very place.","They be wantin' ye, so they be gettin' ye. Dave be considerin' it.","They be wantin' to use yer skills, so they brought ye here.","They did crave thou, hence they did obtain thou. Dave did ponder upon it.","Thy skills were desired, hence thou art hither brought."
97141n,"['neutral', 'neutral', 'contradiction', 'neutral', 'neutral']",fiction,neutral,97141,"I have to tell you, I tried to understand it.","( ( I ( have ( to ( tell you ) ) ) ) ( , ( I ( ( tried ( to ( understand it ) ) ) . ) ) ) )","(ROOT (S (S (NP (PRP I)) (VP (VBP have) (S (VP (TO to) (VP (VB tell) (NP (PRP you))))))) (, ,) (NP (PRP I)) (VP (VBD tried) (S (VP (TO to) (VP (VB understand) (NP (PRP it)))))) (. .)))",I am upset that I can not understand it.,( I ( ( am ( upset ( that ( I ( ( can not ) ( understand it ) ) ) ) ) ) . ) ),(ROOT (S (NP (PRP I)) (VP (VBP am) (ADJP (VBN upset) (SBAR (IN that) (S (NP (PRP I)) (VP (MD can) (RB not) (VP (VB understand) (NP (PRP it)))))))) (. .))),"Verily, I must disclose that I made a valiant effort in order to comprehend its profound essence.","My heart is saddening, for I am troubled by my inability to comprehend it.","Arrr, I be havin' to tell ye, I tried t' comprehend it.",I be mighty frustrated that I can't grasp it.,"I do confess, I endeavored to fathom it.","Mine heart is heavy, forsooth, as I find myself vexed, unable to comprehend it."
67632e,"['entailment', 'entailment', 'entailment', 'entailment', 'entailment']",telephone,entailment,67632,oh well yeah that's all i have to say thank you,( ( oh well ) ( ( yeah ( that ( 's ( ( all i ) ( have ( to ( say thank ) ) ) ) ) ) ) you ) ),(ROOT (SINV (FRAG (INTJ (UH oh) (UH well))) (VP (VBP yeah) (SBAR (IN that) (S (VP (VBZ 's) (SBAR (S (NP (DT all) (FW i)) (VP (VBP have) (S (VP (TO to) (VP (VB say) (VP (VB thank)))))))))))) (NP (PRP you)))),"Thank you, that's all I have to say.","( ( Thank you ) ( , ( that ( ( 's ( all ( I ( have ( to say ) ) ) ) ) . ) ) ) )","(ROOT (S (S (VP (VB Thank) (NP (PRP you)))) (, ,) (NP (DT that)) (VP (VBZ 's) (NP (NP (DT all)) (SBAR (S (NP (PRP I)) (VP (VBP have) (S (VP (TO to) (VP (VB say))))))))) (. .)))","Lo and behold, alas! I am at the precipice of expressing my sentiments, albeit succinctly. Gratitude resonates within me as I bid thee adieu.","I extend my sincerest gratitude for your kind attention, as I humbly express that the extent of my expressions are herewith concluded.","Arrr, well aye that be all me have to utter matey. Thank ye kindly.","Thank ye, that be all I have to say.","Oh well, aye, that's all I have to speaketh. I humbly thank thee.","I prithee, I humbly express my gratitude, forsooth, that is all I am bound to convey to thee."
19116e,"['entailment', 'neutral', 'entailment', 'entailment', 'entailment']",fiction,entailment,19116," The tents had been burned, but there was a new building where the main tent had been.","( ( ( ( ( ( The tents ) ( had ( been burned ) ) ) , ) but ) ( there ( was ( ( a ( new building ) ) ( where ( ( the ( main tent ) ) ( had been ) ) ) ) ) ) ) . )","(ROOT (S (S (NP (DT The) (NNS tents)) (VP (VBD had) (VP (VBN been) (VP (VBN burned))))) (, ,) (CC but) (S (NP (EX there)) (VP (VBD was) (NP (NP (DT a) (JJ new) (NN building)) (SBAR (WHADVP (WRB where)) (S (NP (DT the) (JJ main) (NN tent)) (VP (VBD had) (VP (VBN been)))))))) (. .)))",There was a building were the tents once were.,( There ( ( was ( ( a building ) ( ( were ( the tents ) ) ( once were ) ) ) ) . ) ),(ROOT (S (NP (EX There)) (VP (VBD was) (NP (NP (DT a) (NN building)) (SBAR (S (VP (VBD were) (NP (DT the) (NNS tents)) (SBAR (IN once) (S (VP (VBD were))))))))) (. .))),"Behold, the charred remnants of the once magnificent encampment lay before us, the tents having met their untimely demise in the devastating inferno. Yet, from the ashes of destruction, a glorious structure materialized, a beacon of hope and renewal that now graced the hallowed ground once occupied by the regal pavilion of old.","Lo and behold, before our very eyes stood a majestic edifice, where the humble tents of yore had once graced the land.","Arrr, the tents had been burnt, but there be a new ship where the main tent had been.","Arr, a structure stood where the canvas shelters once be.","The pavilions had been set ablaze, yet lo, there stood a novel edifice in place of the chief pavilion.","In sooth, a edifice did rise where erstwhile resided the pavilions."
131090c,"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",travel,contradiction,131090,Two natural rock formations are always pointed out on excursions.,( ( Two ( natural ( rock formations ) ) ) ( ( ( are always ) ( ( pointed out ) ( on excursions ) ) ) . ) ),(ROOT (S (NP (CD Two) (JJ natural) (NN rock) (NNS formations)) (VP (VBP are) (ADVP (RB always)) (VP (VBN pointed) (PRT (RP out)) (PP (IN on) (NP (NNS excursions))))) (. .))),There is only one natural rock formation in the area.,( There ( ( ( is only ) ( ( one ( natural ( rock formation ) ) ) ( in ( the area ) ) ) ) . ) ),(ROOT (S (NP (EX There)) (VP (VBZ is) (ADVP (RB only)) (NP (NP (CD one) (JJ natural) (NN rock) (NN formation)) (PP (IN in) (NP (DT the) (NN area))))) (. .))),"In every adventurous expedition, it is an ardent tradition to continuously celebrate the sublime presence of two enchanting rock formations that have been bestowed upon us by nature herself.","Behold, within this enchanted realm, nestled amidst the sprawling landscapes, emerges a solitary marvel - a singular manifestation of nature's artistry - an ethereal rock formation, the undoubted beacon of this land.","Arrr, ye always be pointin' out two natural rock formations on yer excursions, mateys!",There be only one natural rock formation in the area.,"Verily, on every expedition, twain natural rock formations are consistently pointed out.","Verily, in this region, there doth existeth only a solitary natural rock formation."
11838c,"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",fiction,contradiction,11838,I noticed that there was a long branch running out from the tree in the right direction.,( I ( ( noticed ( that ( there ( was ( ( a ( long branch ) ) ( ( running out ) ( from ( ( the tree ) ( in ( the ( right direction ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (PRP I)) (VP (VBD noticed) (SBAR (IN that) (S (NP (EX there)) (VP (VBD was) (NP (NP (DT a) (JJ long) (NN branch)) (VP (VBG running) (PRT (RP out)) (PP (IN from) (NP (NP (DT the) (NN tree)) (PP (IN in) (NP (DT the) (JJ right) (NN direction))))))))))) (. .))),I did not notice the long branch pointing in the right direction.  ,( I ( ( ( did not ) ( notice ( ( the ( long branch ) ) ( pointing ( in ( the ( right direction ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (PRP I)) (VP (VBD did) (RB not) (VP (VB notice) (NP (NP (DT the) (JJ long) (NN branch)) (VP (VBG pointing) (PP (IN in) (NP (DT the) (JJ right) (NN direction))))))) (. .))),"Lo and behold, my unerring eyes beheld a splendid sight, for I espied a luxuriant bough extending gracefully from the magnificent arboreal entity, precisely guided by nature's invisible hand.","Unbeknownst to my wandering gaze, I failed to perceive the elongated limb that gracefully extended itself, dutifully indicating the path to proceed towards the noble destination.",Arrr! Me eye caught sight o' a grand branch stretchin' out from the tree in the right compass point.,I be oblivious to the long plank pointin' in the proper way.,"Verily, mine eyes beheld a branch of great length extending forth from yon tree in the proper direction.","Methinks I did not discern the elongated limb, which did guide me towards the correct direction."
4287e,"['entailment', 'entailment', 'entailment', 'entailment', 'entailment']",telephone,entailment,4287,you know they they like what they're doing they you know they feel good about what they're doing that type of thing it's more,( you ( ( know ( they they ) ) ( like ( ( what ( they ( 're ( doing they ) ) ) ) ( you ( know ( they ( feel ( good ( about ( what ( they ( 're ( doing ( ( ( that type ) ( of thing ) ) ( it ( 's more ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ),(ROOT (S (NP (PRP you)) (VP (VBP know) (S (NP (PRP they)) (NP (PRP they))) (SBAR (IN like) (S (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG doing) (NP (PRP they)))))) (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (PRP they)) (VP (VBP feel) (ADJP (JJ good) (PP (IN about) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG doing) (SBAR (WHNP (WHNP (WDT that) (NN type)) (PP (IN of) (NP (NN thing)))) (S (NP (PRP it)) (VP (VBZ 's) (ADJP (JJR more)))))))))))))))))))),You can tell that they really enjoy the type of thing they're doing right now.,( ( You ( can ( tell ( that ( they ( really ( enjoy ( ( the type ) ( of thing ) ) ) ) ) ) ) ) ) ( they ( ( 're ( doing ( right now ) ) ) . ) ) ),(ROOT (S (S (NP (PRP You)) (VP (MD can) (VP (VB tell) (SBAR (IN that) (S (NP (PRP they)) (ADVP (RB really)) (VP (VBP enjoy) (NP (NP (DT the) (NN type)) (PP (IN of) (NP (NN thing)))))))))) (NP (PRP they)) (VP (VBP 're) (VP (VBG doing) (ADVP (RB right) (RB now)))) (. .))),"It is well understood that they greatly appreciate and derive immense pleasure from engaging in their chosen activities. Their deep sense of satisfaction and contentment resonates with their every action, generating a profound sense of fulfillment. Such is the nature of their endeavors, of a character that surpasses mere ordinary pursuits.","One can discern a profound sense of delight emanating from their very beings, as they ardently revel in the pursuit of the current endeavor at hand.","Ye know they they like what they're doin', ye know they feel good about what they're doin' that type of thing, it's more.",Ye can tell that they be truly enjoyin' the type of thing they be doin' right now.,"Thou knowest that they dost enjoyeth what they art doing, thou knowest that they doth feeleth good about what they art doing, that type of thing, 'tis more.","Verily, one can discern their deep fondness for the present pursuit."
92294e,"['entailment', 'entailment', 'neutral', 'entailment', 'entailment']",fiction,entailment,92294,"Ah, ma foi, no! replied Poirot frankly. ","( Ah ( , ( ( ma ( ( foi , ) ( ( no ! ) ( replied ( Poirot frankly ) ) ) ) ) . ) ) )","(ROOT (S (INTJ (UH Ah)) (, ,) (VP (VB ma) (NP (NP (NN foi)) (, ,) (RRC (ADVP (RB no) (. !)) (VP (VBN replied) (S (NP (NNP Poirot)) (ADVP (RB frankly))))))) (. .)))",Poirot disagreed with me. ,( Poirot ( ( disagreed ( with me ) ) . ) ),(ROOT (S (NP (NNP Poirot)) (VP (VBD disagreed) (PP (IN with) (NP (PRP me)))) (. .))),"Oh, dear me, undoubtedly not! retorted Poirot without a trace of reservation.","Poirot, with resolute conviction, voiced his dissenting opinion in stark contradiction to my own.","Arrr, me hearties, nah! answered Poirot honestly.",Poirot be not agreein' with me.,"""Verily, nay! quoth Poirot truthfully.""",Poirot did disagree witheth me.
137912c,"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",fiction,contradiction,137912,"Oh my God, I'm actually intimidated by a Simulacra.","( ( ( Oh my ) God ) ( , ( I ( ( ( 'm actually ) ( intimidated ( by ( a Simulacra ) ) ) ) . ) ) ) )","(ROOT (S (INTJ (UH Oh) (PRP$ my) (NNP God)) (, ,) (NP (PRP I)) (VP (VBP 'm) (ADVP (RB actually)) (VP (VBN intimidated) (PP (IN by) (NP (DT a) (NNP Simulacra))))) (. .)))",Simulacra does not intimidate me at all.,( Simulacra ( ( ( does not ) ( ( intimidate me ) ( at all ) ) ) . ) ),(ROOT (S (NP (NNP Simulacra)) (VP (VBZ does) (RB not) (VP (VB intimidate) (NP (PRP me)) (ADVP (IN at) (DT all)))) (. .))),"Oh dear heavens, indeed I find myself daunted by the sheer presence of a Simulacra.","The realm of deceptive representations holds no power over me, for I stand undaunted by the illusions it presents.","Avast me hearties, I be actually intimidated by a Simulacra.",Simulacra be not intimidatin' me at all.,"By mine troth, a Simulacra doth stir within me a most profound trepidation.",Simulacra doth not daunt me in the slightest.
73035n,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",slate,neutral,73035,"Until the late '60s, the Senate was deferential to the (many fewer) presidential nominees.","( ( Until ( the ( late '60s ) ) ) ( , ( ( the Senate ) ( ( was ( deferential ( to ( the ( ( -LRB- ( ( many fewer ) -RRB- ) ) ( presidential nominees ) ) ) ) ) ) . ) ) ) )","(ROOT (S (PP (IN Until) (NP (DT the) (JJ late) (NNS '60s))) (, ,) (NP (DT the) (NNP Senate)) (VP (VBD was) (ADJP (JJ deferential) (PP (TO to) (NP (DT the) (PRN (-LRB- -LRB-) (ADJP (RB many) (JJR fewer)) (-RRB- -RRB-)) (JJ presidential) (NN nominees))))) (. .)))",The Senate was respectful of all eleven nominees.,( ( The Senate ) ( ( was ( respectful ( of ( all ( eleven nominees ) ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NNP Senate)) (VP (VBD was) (ADJP (JJ respectful) (PP (IN of) (NP (DT all) (NNS eleven) (NNS nominees))))) (. .))),"In the bygone era prior to the conclusion of the bewitching 1960s, the esteemed Senate exhibited an ample measure of profound deference towards the select few presidential nominees.","The illustrious Senate, adorned with wisdom and sagacity, bestowed its honorable regard upon the magnificent cohort of eleven illustrious nominees.","Until the late '60s, the Senate be deferential to the (many fewer) presidential nominees, matey.",Th' Senate be showin' respect fer all eleven mateys up fer nomination.,"In yond era, yclept the late '60s, the Senate was of a deferential nature towards the (fewer in number) presidential nominees.",The Senate did showeth due respect to all eleven nominees.
